dimension,block_size,failures,mode,rw_ratio,read_user,read_proc,read_wall,write_user,write_proc,write_wall
4,2048,3,l,0.9,3.10595e+07,3.09041e+07,3.08732e+07,2.80948e+08,2.79542e+08,2.79262e+08
4,2048,3,r,0.1,5.25248e+08,5.22619e+08,5.22096e+08,5.81721e+07,5.78809e+07,5.7823e+07
4,2048,3,r,0.5,1.59334e+08,1.58376e+08,1.5806e+08,1.59611e+08,1.58651e+08,1.58334e+08
4,2048,3,r,0.9,2.26592e+07,2.25684e+07,2.25233e+07,2.03847e+08,2.0303e+08,2.02624e+08
4,4096,0,l,0.1,6.39846e+09,6.27665e+09,6.2641e+09,7.10718e+08,6.97188e+08,6.95793e+08
4,4096,0,l,0.5,1.59839e+09,1.56796e+09,1.56483e+09,1.59865e+09,1.56821e+09,1.56508e+09
4,4096,0,l,0.9,2.23557e+08,2.19301e+08,2.18862e+08,2.01057e+09,1.97229e+09,1.96835e+09
4,4096,0,r,0.1,4.84895e+09,4.72748e+09,4.71803e+09,5.38209e+08,5.24727e+08,5.23677e+08
4,4096,0,r,0.5,1.0369e+09,1.01199e+09,1.01098e+09,1.0357e+09,1.01082e+09,1.00981e+09
4,4096,0,r,0.9,1.2867e+08,1.2545e+08,1.25325e+08,1.16012e+09,1.13109e+09,1.12996e+09
4,4096,1,l,0.1,4.4103e+09,4.34401e+09,4.33532e+09,4.89848e+08,4.82486e+08,4.81521e+08
4,4096,1,l,0.5,1.01785e+09,1.00051e+09,9.98507e+08,1.01671e+09,9.99392e+08,9.97393e+08
4,4096,1,l,0.9,1.30903e+08,1.28937e+08,1.28808e+08,1.17733e+09,1.15966e+09,1.1585e+09
4,4096,1,r,0.1,3.00769e+09,2.95043e+09,2.94453e+09,3.34995e+08,3.28617e+08,3.2796e+08
4,4096,1,r,0.5,6.43808e+08,6.30918e+08,6.30288e+08,6.44263e+08,6.31365e+08,6.30733e+08
4,4096,1,r,0.9,7.97722e+07,7.83349e+07,7.82565e+07,7.15993e+08,7.03092e+08,7.02389e+08
4,4096,2,l,0.1,1.70968e+09,1.68563e+09,1.6772e+09,1.90064e+08,1.87389e+08,1.86452e+08
4,4096,2,l,0.5,5.10972e+08,5.04828e+08,5.03818e+08,5.11756e+08,5.05603e+08,5.04592e+08
4,4096,2,l,0.9,6.58417e+07,6.49849e+07,6.492e+07,5.91664e+08,5.83965e+08,5.83381e+08
4,4096,2,r,0.1,1.36988e+09,1.34931e+09,1.34796e+09,1.52184e+08,1.49899e+08,1.49749e+08
4,4096,2,r,0.5,3.53043e+08,3.47742e+08,3.47394e+08,3.52476e+08,3.47184e+08,3.46837e+08
4,4096,2,r,0.9,4.44443e+07,4.36435e+07,4.35999e+07,4.00563e+08,3.93346e+08,3.92953e+08
4,4096,3,l,0.1,6.10587e+08,3.36496e+08,3.35823e+08,6.78573e+07,3.73963e+07,3.73215e+07
4,4096,3,l,0.5,2.37617e+08,1.68639e+08,1.68471e+08,2.3689e+08,1.68123e+08,1.67955e+08
4,4096,3,l,0.9,3.2826e+07,2.41184e+07,2.40943e+07,2.97749e+08,2.18766e+08,2.18547e+08
4,4096,3,r,0.1,6.2467e+08,6.16541e+08,6.15925e+08,6.96424e+07,6.87361e+07,6.86674e+07
4,4096,3,r,0.5,1.92578e+08,1.90648e+08,1.90267e+08,1.92732e+08,1.90801e+08,1.90419e+08
4,4096,3,r,0.9,2.65942e+07,1.94066e+07,1.93872e+07,2.38069e+08,1.73726e+08,1.73552e+08
6,32,0,l,0.1,3.44541e+08,3.44541e+08,3.44197e+08,3.82784e+07,3.82784e+07,3.82401e+07
6,32,0,l,0.5,8.65227e+07,8.65227e+07,8.64362e+07,8.65379e+07,8.65379e+07,8.64514e+07
6,32,0,l,0.9,1.17004e+07,1.17004e+07,1.16887e+07,1.05221e+08,1.05221e+08,1.05115e+08
6,32,0,r,0.1,2.84886e+08,2.84886e+08,2.84601e+08,3.16425e+07,3.16425e+07,3.16108e+07
6,32,0,r,0.5,7.83183e+07,7.83183e+07,7.824e+07,7.83419e+07,7.83419e+07,7.82636e+07
6,32,0,r,0.9,1.02406e+07,1.02406e+07,1.02304e+07,9.2052e+07,9.2052e+07,9.196e+07
6,32,1,l,0.1,2.83012e+08,2.83012e+08,2.82729e+08,3.1447e+07,3.1447e+07,3.14155e+07
6,32,1,l,0.5,7.19158e+07,7.19158e+07,7.18439e+07,7.19166e+07,7.19166e+07,7.18447e+07
6,32,1,l,0.9,9.6632e+06,9.6632e+06,9.65354e+06,8.69905e+07,8.69905e+07,8.69035e+07
6,32,1,r,0.1,2.39074e+08,2.39074e+08,2.38835e+08,2.65734e+07,2.65734e+07,2.65468e+07
6,32,1,r,0.5,6.57224e+07,6.57224e+07,6.56567e+07,6.5708e+07,6.5708e+07,6.56423e+07
6,32,1,r,0.9,8.59097e+06,8.59097e+06,8.58238e+06,7.73471e+07,7.73471e+07,7.72697e+07
6,32,2,l,0.1,1.11125e+08,1.11125e+08,1.11014e+08,1.23453e+07,1.23453e+07,1.23329e+07
6,32,2,l,0.5,3.65188e+07,3.65188e+07,3.64822e+07,3.65013e+07,3.65013e+07,3.64647e+07
6,32,2,l,0.9,5.39306e+06,5.39306e+06,5.38767e+06,4.86189e+07,4.86189e+07,4.85703e+07
6,32,2,r,0.1,1.18009e+08,1.18009e+08,1.17891e+08,1.31205e+07,1.31205e+07,1.31074e+07
6,32,2,r,0.5,3.62037e+07,3.62037e+07,3.61675e+07,3.62178e+07,3.62178e+07,3.61815e+07
6,32,2,r,0.9,5.08708e+06,5.08708e+06,5.082e+06,4.57608e+07,4.57608e+07,4.5715e+07
6,32,3,l,0.1,5.16526e+07,5.16526e+07,5.16009e+07,5.74779e+06,5.74779e+06,5.74204e+06
6,32,3,l,0.5,1.63605e+07,1.63605e+07,1.63441e+07,1.63644e+07,1.63644e+07,1.6348e+07
6,32,3,l,0.9,2.32165e+06,2.32165e+06,2.31933e+06,2.09068e+07,2.09068e+07,2.08859e+07
6,32,3,r,0.1,5.32515e+07,5.32515e+07,5.31982e+07,5.91268e+06,5.91268e+06,5.90677e+06
6,32,3,r,0.5,1.5558e+07,1.5558e+07,1.55425e+07,1.5562e+07,1.5562e+07,1.55465e+07
6,32,3,r,0.9,2.19004e+06,2.19004e+06,2.18785e+06,1.97356e+07,1.97356e+07,1.97158e+07
6,512,0,l,0.1,2.60689e+09,2.59906e+09,2.59646e+09,2.89616e+08,2.88746e+08,2.88458e+08
6,512,0,l,0.5,7.0831e+08,7.05474e+08,7.04769e+08,7.08291e+08,7.05455e+08,7.0475e+08
6,512,0,l,0.9,9.7264e+07,9.69719e+07,9.6875e+07,8.74809e+08,8.72181e+08,8.71309e+08
6,512,0,r,0.1,1.56856e+09,1.56385e+09,1.56229e+09,1.74226e+08,1.73703e+08,1.73529e+08
6,512,0,r,0.5,3.83375e+08,3.82607e+08,3.81842e+08,3.83157e+08,3.82389e+08,3.81624e+08
6,512,0,r,0.9,4.93426e+07,4.91944e+07,4.91452e+07,4.43222e+08,4.41891e+08,4.41449e+08
6,512,1,l,0.1,2.0409e+09,2.03478e+09,2.03274e+09,2.26722e+08,2.26041e+08,2.25815e+08
6,512,1,l,0.5,4.79357e+08,4.78397e+08,4.77919e+08,4.79508e+08,4.78548e+08,4.78069e+08
6,512,1,l,0.9,6.16501e+07,6.14648e+07,6.13418e+07,5.55181e+08,5.53512e+08,5.52405e+08
6,512,1,r,0.1,1.0951e+09,1.09181e+09,1.09072e+09,1.21588e+08,1.21223e+08,1.21102e+08
6,512,1,r,0.5,2.62896e+08,2.62106e+08,2.61844e+08,2.62932e+08,2.62143e+08,2.61881e+08
6,512,1,r,0.9,3.34978e+07,3.33971e+07,3.33303e+07,3.01274e+08,3.00369e+08,2.99768e+08
6,512,2,l,0.1,8.11896e+08,8.09458e+08,8.08649e+08,9.02057e+07,8.99348e+07,8.98449e+07
6,512,2,l,0.5,2.26306e+08,2.25853e+08,2.25627e+08,2.264e+08,2.25947e+08,2.25721e+08
6,512,2,l,0.9,2.70901e+07,2.70088e+07,2.69818e+07,2.43825e+08,2.43093e+08,2.4285e+08
6,512,2,r,0.1,5.0625e+08,5.05237e+08,5.04732e+08,5.62043e+07,5.60918e+07,5.60357e+07
6,512,2,r,0.5,1.37846e+08,1.3757e+08,1.37295e+08,1.37916e+08,1.37639e+08,1.37364e+08
6,512,2,r,0.9,1.92543e+07,1.91965e+07,1.91773e+07,1.72953e+08,1.72434e+08,1.72261e+08
6,512,3,l,0.1,3.12567e+08,3.12254e+08,3.11941e+08,3.47115e+07,3.46768e+07,3.46421e+07
6,512,3,l,0.5,9.55321e+07,9.54364e+07,9.5341e+07,9.54837e+07,9.53881e+07,9.52927e+07
6,512,3,l,0.9,1.27896e+07,1.27512e+07,1.27257e+07,1.15532e+08,1.15185e+08,1.14955e+08
6,512,3,r,0.1,2.39134e+08,2.38655e+08,2.38417e+08,2.65354e+07,2.64822e+07,2.64558e+07
6,512,3,r,0.5,7.55118e+07,7.53607e+07,7.52853e+07,7.54848e+07,7.53337e+07,7.52584e+07
6,512,3,r,0.9,1.10678e+07,1.10567e+07,1.10457e+07,9.96404e+07,9.95407e+07,9.94412e+07
6,1024,0,l,0.1,4.02222e+09,4.00209e+09,3.99809e+09,4.46757e+08,4.44521e+08,4.44076e+08
6,1024,0,l,0.5,1.04312e+09,1.03685e+09,1.03478e+09,1.04324e+09,1.03696e+09,1.03489e+09
6,1024,0,l,0.9,1.45227e+08,1.44063e+08,1.43775e+08,1.30629e+09,1.29582e+09,1.29323e+09
6,1024,0,r,0.1,2.53329e+09,2.51808e+09,2.51556e+09,2.81667e+08,2.79975e+08,2.79695e+08
6,1024,0,r,0.5,5.74558e+08,5.70528e+08,5.69387e+08,5.74222e+08,5.70195e+08,5.69054e+08
6,1024,0,r,0.9,7.17817e+07,7.13501e+07,7.12074e+07,6.44756e+08,6.4088e+08,6.39598e+08
6,1024,1,l,0.1,2.77275e+09,2.75887e+09,2.75611e+09,3.07951e+08,3.06409e+08,3.06103e+08
6,1024,1,l,0.5,6.07311e+08,6.04877e+08,6.03667e+08,6.0714e+08,6.04707e+08,6.03497e+08
6,1024,1,l,0.9,7.83767e+07,7.80628e+07,7.79848e+07,7.04622e+08,7.01801e+08,7.01099e+08
6,1024,1,r,0.1,1.62451e+09,1.61313e+09,1.61151e+09,1.80613e+08,1.79348e+08,1.79168e+08
6,1024,1,r,0.5,3.45246e+08,3.42824e+08,3.42138e+08,3.45388e+08,3.42966e+08,3.4228e+08
6,1024,1,r,0.9,4.28065e+07,4.2592e+07,4.25069e+07,3.84996e+08,3.83067e+08,3.82301e+08
6,1024,2,l,0.1,9.36906e+08,9.33155e+08,9.32222e+08,1.04307e+08,1.03889e+08,1.03786e+08
6,1024,2,l,0.5,2.68718e+08,2.67373e+08,2.67106e+08,2.68614e+08,2.6727e+08,2.67002e+08
6,1024,2,l,0.9,3.2553e+07,3.23249e+07,3.22926e+07,2.92629e+08,2.90579e+08,2.90288e+08
6,1024,2,r,0.1,6.04954e+08,6.01926e+08,6.01325e+08,6.72156e+07,6.68792e+07,6.68123e+07
